JudgeName,FullAssignment,Week,Assignment,County
MANNING,in chambers,33-2000,in chambers,na
MARTIN,in chambers,33-2000,in chambers,na
MCKELLAR,in chambers,33-2000,in chambers,na
MILLING,in chambers + 4th Cir. CPNJ 14,33-2000,in chambers ,na
NICHOLSON,in chambers,33-2000,in chambers,na
PATTERSON,in chambers + 13th Cir. CPNJ 14,33-2000,in chambers ,na
PEEPLES,in chambers,33-2000,in chambers,na
PIEPER,in chambers,33-2000,in chambers,na
RAWL,in chambers + 9th Cir. CPNJ 14,33-2000,in chambers ,na
SAUNDERS,in chambers,33-2000,in chambers,na
SHORT,XX,33-2000,XX,na
THOMAS,in chambers,33-2000,in chambers,na
WATSON,in chambers,33-2000,in chambers,na
WESTBROOK,in chambers + 11th Cir. CPNJ 15,33-2000,in chambers ,na
WILLIAMS,in chambers,33-2000,in chambers,na
BROWN,na,33-2000,na,na
COTTINGHAM,na,33-2000,na,na
HUGHSTON,na,33-2000,na,na
COUCH,na,33-2000,na,na
SMOAK,na,33-2000,na,na
COOPER GT,in chambers,33-2000,in chambers,na
NEWMAN,in chambers,33-2000,in chambers,na
SIMMONS,na,33-2000,na,na
GIER,na,33-2000,na,na
BERGDORF,Orangeburg CPNJ 17,33-2000,Orangeburg CPNJ 17,Orangeburg
ALFORD,York GS,34-2000,York GS,York
BARBER,Richland CP,34-2000,Richland CP,Richland
BAXLEY,Charleston CP,34-2000,Charleston CP,Charleston
BEATTY,7th Cir. CPNJ,34-2000,7th Cir. CPNJ,na
BREEDEN,Marlboro GS,34-2000,Marlboro GS,Marlboro
BROGDON,Florence CP,34-2000,Florence CP,Florence
BUCKNER,Richland CP,34-2000,Richland CP,Richland
BURCH,Horry GS CP CC,34-2000,Horry GS CP CC,Horry
CLARY,Spartanburg GS,34-2000,Spartanburg GS,Spartanburg
COLE,Spartanburg GS,34-2000,Spartanburg GS,Spartanburg
COOPER TW,Sumter CP,34-2000,Sumter CP,Sumter
DENNIS,X,34-2000,X,na
FEW,Anderson GS,34-2000,Anderson GS,Anderson
FLOYD H,13th Cir. CPNJ,34-2000,13th Cir. CPNJ,na
FLOYD S,15th Cir. CPNJ,34-2000,15th Cir. CPNJ,na
GOODE,Fairfield CP + Lexington CP CC 24,34-2000,Fairfield CP ,Fairfield
GOODSTEIN,1st Cir. CPNJ/PCR + 2nd Cir. CPNJ CC 25,34-2000,1st Cir. CPNJ/PCR ,na
GREGORY,Beaufort GS,34-2000,Beaufort GS,Beaufort
HALL,Anderson GS 23,34-2000,Anderson GS 23,Anderson
HARWELL,Florence GS,34-2000,Florence GS,Florence
HAYES,York GS,34-2000,York GS,York
JOHNSON,Newberry GS,34-2000,Newberry GS,Newberry
KEESLEY,Lexington GS,34-2000,Lexington GS,Lexington
KINARD,Kershaw CP,34-2000,Kershaw CP,Kershaw
KING,Lee GS,34-2000,Lee GS,Lee
KITTREDGE,Greenville GS CP CC,34-2000,Greenville GS CP CC,Greenville
LEE,Richland CP,34-2000,Richland CP,Richland
LOCKEMY,Colleton GS,34-2000,Colleton GS,Colleton
MACAULAY,Lexington CP,34-2000,Lexington CP,Lexington
MANNING,5th Cir. CPNJ,34-2000,5th Cir. CPNJ,na
MARTIN,X,34-2000,X,na
MCKELLAR,14th Cir. CPNJ,34-2000,14th Cir. CPNJ,na
MILLING,"X 23,24,25 + 3rd Cir. CPNJ 21,22",34-2000,"X 23,24,25 ",na
NICHOLSON,Oconee CP,34-2000,Oconee CP,Oconee
PATTERSON,"Greenville CP 21,22,23,24 + X 25",34-2000,"Greenville CP 21,22,23,24 ",Greenville
PEEPLES,2nd Cir. CPNJ,34-2000,2nd Cir. CPNJ,na
PIEPER,Charleston CP,34-2000,Charleston CP,Charleston
RAWL,Charleston CP,34-2000,Charleston CP,Charleston
SAUNDERS,Abbeville GS,34-2000,Abbeville GS,Abbeville
SHORT,Lancaster GS,34-2000,Lancaster GS,Lancaster
THOMAS,Horry CP,34-2000,Horry CP,Horry
WATSON,York CP,34-2000,York CP,York
WESTBROOK,Edgefield GS,34-2000,Edgefield GS,Edgefield
WILLIAMS,Richland GS,34-2000,Richland GS,Richland
