JudgeName,FullAssignment,Week,Assignment
GOODSTEIN,in chambers + 1st Cir. CPNJ 14,33-2000,in chambers 
GREGORY,"in chambers + 14th Cir. CPNJ 14,15",33-2000,in chambers 
HALL,in chambers + Horry GS,33-2000,in chambers 
HARWELL,in chambers,33-2000,in chambers
HAYES,in chambers,33-2000,in chambers
JOHNSON,in chambers + Laurens GS(SGJ) 14,33-2000,in chambers 
KEESLEY,in chambers + Lexington GS 16,33-2000,in chambers 
KINARD,in chambers,33-2000,in chambers
KING,in chambers,33-2000,in chambers
KITTREDGE,in chambers + 13th Cir. CPNJ 15,33-2000,in chambers 
LEE,in chambers,33-2000,in chambers
LOCKEMY,in chambers + 4th Cir. CPNJ 14,33-2000,in chambers 
MACAULAY,in chambers,33-2000,in chambers
MANNING,in chambers,33-2000,in chambers
MARTIN,in chambers,33-2000,in chambers
MCKELLAR,in chambers,33-2000,in chambers
MILLING,in chambers + 4th Cir. CPNJ 14,33-2000,in chambers 
NICHOLSON,in chambers,33-2000,in chambers
PATTERSON,in chambers + 13th Cir. CPNJ 14,33-2000,in chambers 
PEEPLES,in chambers,33-2000,in chambers
PIEPER,in chambers,33-2000,in chambers
RAWL,in chambers + 9th Cir. CPNJ 14,33-2000,in chambers 
SAUNDERS,in chambers,33-2000,in chambers
SHORT,XX,33-2000,XX
THOMAS,in chambers,33-2000,in chambers
WATSON,in chambers,33-2000,in chambers
WESTBROOK,in chambers + 11th Cir. CPNJ 15,33-2000,in chambers 
WILLIAMS,in chambers,33-2000,in chambers
BROWN,na,33-2000,na
COTTINGHAM,na,33-2000,na
HUGHSTON,na,33-2000,na
COUCH,na,33-2000,na
SMOAK,na,33-2000,na
COOPER GT,in chambers,33-2000,in chambers
NEWMAN,in chambers,33-2000,in chambers
SIMMONS,na,33-2000,na
GIER,na,33-2000,na
BERGDORF,Orangeburg CPNJ 17,33-2000,Orangeburg CPNJ 17
ALFORD,York GS,34-2000,York GS
BARBER,Richland CP,34-2000,Richland CP
BAXLEY,Charleston CP,34-2000,Charleston CP
BEATTY,7th Cir. CPNJ,34-2000,7th Cir. CPNJ
BREEDEN,Marlboro GS,34-2000,Marlboro GS
BROGDON,Florence CP,34-2000,Florence CP
BUCKNER,Richland CP,34-2000,Richland CP
BURCH,Horry GS CP CC,34-2000,Horry GS CP CC
CLARY,Spartanburg GS,34-2000,Spartanburg GS
COLE,Spartanburg GS,34-2000,Spartanburg GS
COOPER TW,Sumter CP,34-2000,Sumter CP
DENNIS,X,34-2000,X
FEW,Anderson GS,34-2000,Anderson GS
FLOYD H,13th Cir. CPNJ,34-2000,13th Cir. CPNJ
FLOYD S,15th Cir. CPNJ,34-2000,15th Cir. CPNJ
GOODE,Fairfield CP + Lexington CP CC 24,34-2000,Fairfield CP 
GOODSTEIN,1st Cir. CPNJ/PCR + 2nd Cir. CPNJ CC 25,34-2000,1st Cir. CPNJ/PCR 
GREGORY,Beaufort GS,34-2000,Beaufort GS
HALL,Anderson GS 23,34-2000,Anderson GS 23
HARWELL,Florence GS,34-2000,Florence GS
HAYES,York GS,34-2000,York GS
JOHNSON,Newberry GS,34-2000,Newberry GS
KEESLEY,Lexington GS,34-2000,Lexington GS
KINARD,Kershaw CP,34-2000,Kershaw CP
KING,Lee GS,34-2000,Lee GS
KITTREDGE,Greenville GS CP CC,34-2000,Greenville GS CP CC
LEE,Richland CP,34-2000,Richland CP
LOCKEMY,Colleton GS,34-2000,Colleton GS
MACAULAY,Lexington CP,34-2000,Lexington CP
MANNING,5th Cir. CPNJ,34-2000,5th Cir. CPNJ
MARTIN,X,34-2000,X
MCKELLAR,14th Cir. CPNJ,34-2000,14th Cir. CPNJ
MILLING,"X 23,24,25 + 3rd Cir. CPNJ 21,22",34-2000,"X 23,24,25 "
NICHOLSON,Oconee CP,34-2000,Oconee CP
PATTERSON,"Greenville CP 21,22,23,24 + X 25",34-2000,"Greenville CP 21,22,23,24 "
PEEPLES,2nd Cir. CPNJ,34-2000,2nd Cir. CPNJ
PIEPER,Charleston CP,34-2000,Charleston CP
RAWL,Charleston CP,34-2000,Charleston CP
SAUNDERS,Abbeville GS,34-2000,Abbeville GS
SHORT,Lancaster GS,34-2000,Lancaster GS
THOMAS,Horry CP,34-2000,Horry CP
WATSON,York CP,34-2000,York CP
WESTBROOK,Edgefield GS,34-2000,Edgefield GS
WILLIAMS,Richland GS,34-2000,Richland GS
BROWN,Orangeburg GS,34-2000,Orangeburg GS
COTTINGHAM,Marion GS,34-2000,Marion GS
HUGHSTON,Greenville GS,34-2000,Greenville GS
COUCH,na,34-2000,na
SMOAK,9th Cir. CPNJ,34-2000,9th Cir. CPNJ
COOPER GT,Greenville GS,34-2000,Greenville GS
NEWMAN,Berkeley GS,34-2000,Berkeley GS
SIMMONS,na,34-2000,na
GIER,York CPNJ 24,34-2000,York CPNJ 24
BERGDORF,na,34-2000,na
ALFORD,X,35-2000,X
BARBER,Richland CP,35-2000,Richland CP
BAXLEY,Charleston CP,35-2000,Charleston CP
BEATTY,Spartanburg GS(SGJ),35-2000,Spartanburg GS(SGJ)
BREEDEN,Horry CP,35-2000,Horry CP
BROGDON,Marion GS,35-2000,Marion GS
BUCKNER,Richland GS,35-2000,Richland GS
BURCH,Dillon GS,35-2000,Dillon GS
CLARY,X,35-2000,X
COLE,Florence CP,35-2000,Florence CP
COOPER TW,Williamsburg GS + Orangeburg GS CC 1,35-2000,Williamsburg GS 
DENNIS,Sumter GS(SGJ),35-2000,Sumter GS(SGJ)
FEW,Beaufort CP,35-2000,Beaufort CP
FLOYD H,Pickens GS,35-2000,Pickens GS
FLOYD S,Georgetown GS,35-2000,Georgetown GS
GOODE,Chester CP,35-2000,Chester CP
GOODSTEIN,Dorchester CP,35-2000,Dorchester CP
GREGORY,Beaufort GS CP CC,35-2000,Beaufort GS CP CC
HALL,Lexington GS,35-2000,Lexington GS
HARWELL,12th Cir. CPNJ,35-2000,12th Cir. CPNJ
HAYES,Union GS,35-2000,Union GS
JOHNSON,Laurens GS,35-2000,Laurens GS
KEESLEY,Barnwell GS,35-2000,Barnwell GS
KINARD,Richland CP,35-2000,Richland CP
KING,Clarendon GS,35-2000,Clarendon GS
KITTREDGE,13th Cir. CPNJ/PCR,35-2000,13th Cir. CPNJ/PCR
LEE,5th Cir. CPNJ,35-2000,5th Cir. CPNJ
LOCKEMY,Lee CP,35-2000,Lee CP
MACAULAY,Anderson GS,35-2000,Anderson GS
MANNING,X,35-2000,X
MARTIN,Berkeley CP,35-2000,Berkeley CP
MCKELLAR,Hampton CP,35-2000,Hampton CP
MILLING,Chesterfield CP,35-2000,Chesterfield CP
NICHOLSON,Anderson CP + Oconee GS CC 1,35-2000,Anderson CP 
PATTERSON,X,35-2000,X
PEEPLES,Aiken CP,35-2000,Aiken CP
PIEPER,Charleston CP,35-2000,Charleston CP
RAWL,9th Cir. CPNJ,35-2000,9th Cir. CPNJ
SAUNDERS,Newberry CP + Laurens GS CC 1,35-2000,Newberry CP 
SHORT,Lancaster GS,35-2000,Lancaster GS
THOMAS,"15th Cir. CPNJ/PCR 28,29,30,31 + X 1",35-2000,"15th Cir. CPNJ/PCR 28,29,30,31 "
WATSON,Greenville CP,35-2000,Greenville CP
WESTBROOK,Edgefield GS,35-2000,Edgefield GS
WILLIAMS,Richland GS,35-2000,Richland GS
